,epochs,loss,acc,val_loss,val_acc
0,1,0.7977150082588196,0.7593333125114441,0.9119784235954285,0.7413333058357239
1,2,0.6692774891853333,0.7613333463668823,1.0811002254486084,0.746666669845581
2,3,0.611269474029541,0.7620000243186951,0.9416986703872681,0.7353333234786987
3,4,0.5889247059822083,0.7720000147819519,1.2683814764022827,0.7406666874885559
4,5,0.5769170522689819,0.7566666603088379,1.0642625093460083,0.6566666960716248
5,6,0.5743138790130615,0.768666684627533,1.2063729763031006,0.7486666440963745
6,7,0.5474832057952881,0.7926666736602783,1.1987179517745972,0.753333330154419
7,8,0.5392682552337646,0.7953333258628845,0.7166402339935303,0.7459999918937683
8,9,0.5614868402481079,0.7919999957084656,1.2664053440093994,0.6700000166893005
9,10,0.5482854843139648,0.7960000038146973,0.9411399960517883,0.6193333268165588
10,11,0.5309760570526123,0.8119999766349792,1.0485111474990845,0.7480000257492065
11,12,0.5130816102027893,0.8053333163261414,0.6014421582221985,0.7753333449363708
12,13,0.5186291337013245,0.8133333325386047,1.0832747220993042,0.7526666522026062
13,14,0.44958749413490295,0.840666651725769,0.8800384998321533,0.7799999713897705
14,15,0.4489901065826416,0.8413333296775818,0.7932940125465393,0.7766666412353516
